Date,SPY US Equity,80,90,95,97.5,100,102.5,105,110,120,Dividends,USGG1M Index,Spot
2005-06-21,122.4386203627146,16.97231,16.9723,14.2008,12.2532,9.9308,9.3643,9.1402,8.6747,8.587,0.016713042947627793,2.782715,121.47
2005-06-22,122.5394177780128,16.1695,16.1695,13.6168,11.8661,9.8078,9.3194,9.0553,8.5026,8.4075,0.016699295277192962,2.762161,121.57
2005-06-23,120.8157819764137,18.16787,18.1678,15.2417,13.2333,10.8595,10.3566,10.1089,9.5942,9.507688,0.01693753818495201,2.753235,119.86
2005-06-24,119.9287647217896,17.02338,17.0234,14.5343,12.8926,11.0086,10.6787,10.4725,10.0472,9.985625,0.01706281162252772,2.752612,118.98
2005-06-27,120.1001203277966,16.5435,16.5435,14.306,12.8319,11.1647,10.8363,10.6501,10.2676,10.20781,0.017038466864023064,2.803277,119.15
2005-06-28,121.1080944807785,15.52781,15.5278,13.4278,12.0348,10.458,10.087,9.863,9.399,9.322813,0.016896656902607974,2.853929,120.15
2005-06-29,120.7855427518243,15.78131,15.7813,13.6117,12.1624,10.5152,10.1112,9.8732,9.3791,9.2955,0.016941778576719923,2.894395,119.83
2005-06-30,120.130359552386,15.58731,15.5873,13.5777,12.2385,10.7334,10.3132,10.0561,9.5212,9.4265,0.017034177939657225,2.967053,119.18
2005-07-01,120.4831505059297,15.88788,15.8879,13.565,11.9957,10.1875,9.7199,9.4359,8.8403,8.738188,0.016984299563694037,2.986443,119.53
2005-07-05,121.4508056927923,15.80881,15.8088,13.6984,12.3018,10.7249,10.2419,9.8853,9.1302,9.004125,0.01684897773133329,2.996128,120.49
2005-07-06,120.4327517982806,16.36438,16.3644,14.2642,12.8501,11.2597,10.7337,10.3968,9.688,9.553188,0.016991407154740106,2.985954,119.48
2005-07-07,120.9064996501821,16.84281,16.8428,14.4354,12.9024,11.1607,10.745,10.3299,9.4453,9.343375,0.016924829736126287,2.965366,119.95
2005-07-08,122.2874242397673,16.0855,16.0855,13.6897,12.1043,10.2773,9.8613,9.553,8.9045,8.809,0.01673370694731576,2.96633,121.32
2005-07-11,122.9123682146161,16.29231,16.2923,13.9873,12.41,10.6005,10.1197,9.8882,9.408,9.3175,0.016648624953652193,2.966089,121.94
2005-07-12,123.2349199435703,16.03769,16.0377,13.8312,12.3397,10.6411,10.0836,9.7084,8.9108,8.763188,0.01660504929534065,2.955673,122.26
2005-07-13,123.4062755495773,16.03769,16.0377,13.6246,12.0202,10.1658,9.8267,9.6189,9.1891,9.125375,0.016581992378080113,2.955434,122.43
2005-07-14,123.8901031430086,16.49,16.49,14.2147,12.4911,10.4879,9.5774,9.299,8.7154,8.545,0.01651723478031363,3.017972,122.91
2005-07-15,123.8195449522999,16.18081,16.1808,13.5896,11.8238,9.7429,9.3249,9.107,8.6549,8.581813,0.01652664707626464,3.017224,122.84
2005-07-18,123.3256376173387,15.6955,15.6955,13.2624,11.6429,9.7583,9.4419,9.2464,8.8425,8.7845,0.01659283471065262,3.006797,122.35
2005-07-19,124.0009802998366,15.07769,15.0777,12.9545,11.426,9.6585,9.0343,8.8126,8.3514,8.241125,0.016502465671015674,2.996374,123.02
2005-07-20,124.424329444089,15.64581,15.6458,13.0924,11.3387,9.2586,8.756,8.4569,7.8244,7.718,0.01644631664653555,2.985954,123.44
2005-07-21,123.698588053942,15.02031,15.0203,12.9403,11.5316,9.9249,9.5034,9.2803,8.8172,8.733,0.016542807422167113,3.109637,122.72
2005-07-22,124.5251268593872,16.04538,16.0454,13.3303,11.4925,9.2983,8.9256,8.6915,8.2034,8.133313,0.016433004102706397,3.129203,123.54
2005-07-25,124.1723359058435,16.28,16.28,13.7367,12.0119,9.9938,9.589,9.377,8.9381,8.867188,0.01647969256310048,3.159472,123.19
2005-07-26,124.3235320287908,15.4885,15.4885,13.2187,11.6798,9.9046,9.4486,9.1849,8.6334,8.537125,0.016459650777106764,3.189732,123.34
2005-07-27,124.7771203976327,14.51481,14.5148,12.4391,11.043,9.4426,9.0676,8.8594,8.4276,8.354375,0.01639981684181556,3.179277,123.79
2005-07-28,125.5633402369586,14.692,14.6921,12.4944,11.0515,9.3893,9.0907,8.8723,8.4187,8.356688,0.016297128737644283,3.221687,124.57
2005-07-29,124.7267216899836,16.06519,16.0652,13.7024,12.1164,10.2887,9.8503,9.5759,9.002,8.908125,0.016406443565931374,3.220834,123.74
2005-08-01,124.6360040162152,16.55238,16.5524,14.2432,12.7447,11.0448,10.7405,10.5179,10.0579,9.995188,0.016418385174673256,3.251091,123.65
2005-08-02,125.3819048894218,17.03731,17.0373,14.474,12.7339,10.7149,10.2288,9.9541,9.3807,9.282875,0.016320711687823362,3.271159,124.39
2005-08-03,125.7145363599059,16.21813,16.2181,13.8803,12.3411,10.5803,10.1873,9.9008,9.3015,9.213313,0.016277528278129796,3.260689,124.72
2005-08-04,124.706562206924,17.31119,17.3112,14.7811,13.1157,11.2054,10.8154,10.5364,9.9549,9.871125,0.016409095755321276,3.323568,123.72
2005-08-05,123.8598639184191,17.37138,17.3714,14.9421,13.3149,11.4588,11.018,10.7672,10.2474,10.15963,0.01652126730833617,3.332843,122.88
2005-08-08,123.6280298632333,17.83213,17.8321,15.4589,13.8595,12.0498,11.5858,11.3506,10.865,10.7765,0.01655224889399387,3.342721,122.65
2005-08-09,124.3739307364399,16.802,16.802,14.5039,12.9955,11.2873,10.9055,10.645,10.1039,10.02163,0.016452981010198136,3.322055,123.39
2005-08-10,124.313452287261,17.10569,17.1057,14.6906,13.1478,11.3982,11.1221,10.8741,10.3603,10.29969,0.01646098537945632,3.331931,123.33
2005-08-11,124.8073596222222,17.01188,17.0119,14.6119,13.0271,11.2205,10.8,10.5097,9.9036,9.810313,0.016395843376258667,3.293002,123.82
2005-08-12,124.0412992659559,17.16481,17.1648,14.8024,13.2908,11.5836,11.1679,10.7853,9.9762,9.874188,0.016497101632117244,3.281928,123.06
2005-08-15,124.8073596222222,17.66487,17.6649,15.0188,13.315,11.3583,10.9524,10.5626,9.7364,9.638813,0.016395843376258667,3.230731,123.82
2005-08-16,123.1845212359212,17.94019,17.9402,15.4863,13.9731,12.3288,11.9671,11.5941,10.8097,10.74213,0.016611842949417793,3.220266,122.21
2005-08-17,123.1744414943914,18.11931,18.1193,15.4981,13.8252,11.9197,11.4474,10.9746,9.962,9.844625,0.016613202347367823,3.250512,122.2
2005-08-18,123.1643617528616,18.19687,18.1969,15.5594,13.8928,12.0099,11.5403,11.0508,10.0,9.890125,0.016614561967823457,3.262438,122.19
2005-08-19,123.4465945156965,18.87513,18.8751,15.8328,13.8523,11.5368,11.0646,10.5979,9.5964,9.480125,0.016576576523624955,3.302294,122.47
2005-08-22,123.4465945156965,19.30469,19.3047,16.1205,14.0615,11.6646,11.1564,10.6239,9.4696,9.348625,0.016576576523624955,3.322358,122.47
2005-08-23,123.2147604605107,18.677,18.677,15.7274,13.8089,11.5766,11.0481,10.5307,9.4109,9.275813,0.016607766090055206,3.311876,122.24
2005-08-24,122.1160686337604,19.11538,19.1154,16.1995,14.3533,12.269,11.7281,11.161,9.9302,9.809625,0.016757188005351614,3.29122,121.15
2005-08-25,122.5595772610725,19.02669,19.0267,15.9776,14.0289,11.8023,11.2699,10.7112,9.4956,9.375875,0.016696548456685157,3.323568,121.59
2005-08-26,121.7229587140975,19.16131,19.1613,16.1869,14.258,12.0235,11.4592,10.9036,9.6975,9.551188,0.016811306118320206,3.35321,120.76
2005-08-29,122.6603746763707,18.66581,18.6658,15.6962,13.7972,11.624,11.1452,10.6448,9.5659,9.458125,0.01668282789751293,3.403813,121.69
2005-08-30,122.0152712184622,18.264,18.264,15.6756,13.9927,12.0775,11.4643,10.9058,9.6928,9.521,0.016771031200729848,3.423857,121.05
2005-08-31,123.5574716725246,17.7725,17.7725,14.9433,13.1698,11.2149,10.7482,10.2603,9.2071,9.125625,0.016561701149032045,3.362464,122.58
2005-09-01,123.4667539987562,18.076,18.076,15.3361,13.6037,11.6521,11.1891,10.706,9.6676,9.566875,0.01657386992283736,3.333757,122.49
2005-09-02,123.2449996851002,18.65188,18.6519,15.8245,14.0278,11.985,11.4673,10.925,9.7505,9.629313,0.016603691231277896,3.363084,122.27
2005-09-06,124.6864027238643,17.45169,17.4517,14.7386,13.0939,11.3821,10.8815,10.3567,9.2179,9.1675,0.01641174880233103,3.362464,123.7
2005-09-07,124.8980772959905,17.12519,17.1252,14.58,12.9735,11.1651,10.664,10.1381,8.9946,8.8805,0.016383934523834624,3.331931,123.91
2005-09-08,124.4848078932679,17.24081,17.2408,14.5457,12.9086,11.197,10.674,10.124,8.923,8.868188,0.016438326533185006,3.280748,123.5
2005-09-09,125.593579461548,16.36069,16.3607,13.7159,12.1313,10.5351,10.094,9.6326,8.6362,8.614625,0.016293204870371975,3.302294,124.6
2005-09-12,125.3415859233026,16.78969,16.7897,14.2427,12.6393,10.8442,10.3,9.7253,8.4595,8.340625,0.016325961615185753,3.291814,124.35
2005-09-13,124.646083757745,17.33781,17.1765,14.3076,12.6311,11.2184,10.6513,10.0522,8.8587,8.858688,0.01641705747087456,3.26098,123.66
2005-09-14,124.1924953889032,17.20963,16.9987,14.2012,12.5712,11.2595,10.6937,10.0963,8.9426,8.942625,0.016477017505465045,3.199629,123.21
2005-09-15,124.1320169397243,17.15263,16.3413,13.2501,11.3943,10.695,10.1708,9.6181,8.8821,8.882125,0.016485045285004857,3.201313,123.15
2005-09-16,125.0106579291371,17.516,17.516,14.6992,12.7722,10.4973,9.7969,9.2827,8.1577,7.963188,0.01655295551547155,3.190289,123.5
2005-09-19,124.5956427894533,17.63131,17.6313,14.9235,13.095,10.9658,10.3117,9.8144,8.7352,8.554813,0.016608091690313884,3.139114,123.09
2005-09-20,123.5429214595237,18.3035,18.3035,15.6162,13.748,11.5822,10.787,10.278,9.1757,8.948688,0.016749610865716805,3.159199,122.05
2005-09-21,122.3889769247932,19.919,19.919,17.0036,14.9915,12.6636,11.7895,11.1858,9.8682,9.603875,0.01690753458076864,2.863878,120.91
2005-09-22,122.8242367054372,19.20631,19.2063,16.3986,14.4439,12.1794,11.3356,10.7974,9.6314,9.388313,0.016847618313505324,2.977237,121.34
2005-09-23,122.9254599102381,18.50619,18.5062,15.7405,13.8634,11.6887,10.9762,10.4565,9.3306,9.130625,0.016833745110019237,3.017224,121.44
